site_id,latitude,longitude,site_type,source,a_width,b_width
abuc1,-10.48284,-67.070378,circle,GE_2021-11-20,203,
abuc2,-10.287298,-67.07577,circle,GE_2022-04-23,31,
abucc,-10.466574,-67.211927,circle,GE_2025.02.19,214,
abucq,-10.428491,-67.11371,quadrangle,GE_2021-11-20,105,
abuge,-10.463339,-67.209415,geoglyph,GE_2021-12-25,109,
abunc,-10.306942,-67.220174,circle,GE_2010-01-13,150,
abung,-10.412602,-67.295137,geoglyph,GE_2021-11-23,114,
abuno,-9.979387,-66.734946,oval,Kalliola_2024,342,315.0
abunq,-10.306859,-67.217872,quadrangle,GE_2017-11-13,180,
abuov,-10.079579,-66.869467,oval,Kalliola_2024,220,210.0
acdc3,-10.127354,-67.034175,circle,GE_2011-02-26,200,
acdc4,-10.075528,-67.553878,circle,GE_2011-02-21,120,
acdc5,-10.002136,-67.259896,circle,GE_2014-01-25,90,
acdo2,-10.663558,-67.714738,oval,GE_2016-01-04,182,170.0
acdoc,-9.855331,-67.232337,octagon,GE_2025.04.25,155,130.0
acds2,-9.758053,-67.194505,square,GE_2024.08.20,175,
acds3,-9.698118,-67.213014,square,GE_2023.09.16,164,
acds4,-10.073635,-67.320639,square,GE_2014-11-17,200,
acds5,-9.784853,-67.221147,quadrangle,GE_2023.08.15,125,
acgeo,-10.097803,-67.658794,quadrangle,GE_2014-01-27,90,80.0
acov2,-9.87311,-67.389561,oval,GE_2011-03-21,128,112.0
acpa2,-9.963776,-67.497717,quadrangle,GE_2010-11-13,140,130.0
acrc1,-10.271551,-67.696563,circle,GE_2014-01-30,180,
acrc11,-10.25995,-67.69858,circle,GE_2021-11-20,58,
acrc12,-9.884392,-67.380347,circle,GE_2021-10-25,90,
acrc13,-10.30202,-67.694411,circle,GE_2014-01-27,90,
acrc14,-10.413076,-67.726635,circle,GE_2014-01-28,90,
acrc15,-10.296445,-67.649875,circle,GE_2015-12-31,130,
acrc16,-10.096787,-67.658742,circle,GE_2014-01-27,75,
acrc17,-10.427565,-67.693297,circle,GE_2015.12.31,90,
acrc18,-10.001127,-68.011979,circle,GE_2014-01-28,75,
acrc19,-9.978964,-67.673539,circle,GE_2014-01-27,100,
acrc2,-10.361794,-67.688718,circle,GE_2015-12-31,100,
acrc20,-10.262033,-67.715701,circle,GE_2014-01-29,70,
acrc21,-10.255579,-67.722468,circle,GE_2014-01-29,66,
acrc22,-10.243592,-67.666035,circle,GE_2014-01-29,66,
acrc23,-10.387342,-67.521693,circle,GE_2021-10-22,61,
acrc24,-10.223719,-67.46228,circle,GE_2021-10-29,211,
acrc25,-10.207854,-67.654641,circle,GE_2014-01-30,72,
acrc26,-10.058146,-67.617626,circle,GE_2014-01-30,67,
acrc27,-10.029028,-67.727625,circle,GE_2014-01-30,64,
acrc28,-10.07104,-67.546279,circle,GE_2021-12-21,70,
acrc29,-9.997834,-67.094409,circle,GE_2014-02-01,56,
acrc3,-10.30239,-67.693815,circle,GE_2021-10-23,44,
acrc30,-9.985506,-67.498498,circle,GE_2014-02-01,170,
acrc31,-9.800918,-67.213634,circle,GE_2024.08.20,121,
acrc32,-10.363203,-67.601046,circle,GE_2021-10-22,84,
acrc33,-9.854835,-67.271459,circle,GE_2021-12-21,90,
acrc34,-10.163144,-67.272837,circle,GE_2014-11-17,75,
acrc35,-10.515156,-67.833319,circle,GE_2014-11-18,166,
acrc36,-10.169169,-67.988493,circle,GE_2014-11-22,128,
acrc37,-10.515156,-67.833319,circle,GE_2021-10-30,167,
acrc38,-9.946875,-67.599354,circle,GE_2014-11-23,164,
acrc39,-9.950389,-67.538792,circle,GE_2014-11-23,70,
acrc4,-10.28442,-67.633854,circle,GE_2016-02-14,78,
acrc40,-10.661363,-67.714447,circle,GE_2016-01-04,80,
acrc41,-10.470916,-67.938256,circle,GE_2017-11-14,168,
acrc42,-10.495959,-67.827351,oval,GE_2024.09.02,78,72.0
acrc43,-10.67087,-67.729956,circle,GE_2023.11.12,103,
acrc44,-10.670878,-67.730195,circle,GE_2023.11.12,154,
acrc45,-10.601572,-67.760287,circle,GE_2020-01-14,78,
acrc46,-10.344931,-67.603935,circle,GE_2020-01-15,97,
acrc47,-10.391936,-67.713413,circle,GE_2021-10-22,142,
acrc48,-10.362413,-67.600703,circle,GE_2021-10-23,62,
acrc49,-10.284294,-67.632656,circle,GE_2021-10-23,136,
acrc5,-10.208509,-67.656982,circle,GE_2014-01-30,125,
acrc50,-10.499956,-67.767291,circle,GE_2021-10-30,60,
acrc51,-10.30382,-67.235851,circle,GE_2021-10-30,90,
acrc52,-10.300801,-67.563965,circle,GE_2021-11-08,63,
acrc53,-9.650611,-67.215313,circle,GE_2021-11-12,60,
acrc54,-10.0154,-67.154435,circle,GE_2021-11-20,88,
acrc55,-10.032239,-67.534751,circle,GE_2022-04-11,73,
acrc56,-10.321292,-67.795091,circle,GE_2022-04-13,72,
acrc57,-10.03094,-67.527146,circle,GE_2022-04-14,55,
acrc58,-10.043873,-67.103679,circle,GE_2022-05-05,72,
acrc59,-10.244414,-67.597394,circle,GE_2022-05-05,80,
acrc6,-10.078716,-67.995066,circle,GE_2014-11-12,130,
acrc60,-9.74665,-67.293425,circle,GE_2023.07.07,350,
acrc61,-10.322867,-67.787483,circle,GE_2023.08.18,50,
acrc62,-10.02283,-67.724363,circle,GE_2023.10.17,104,
acrc63,-10.51574,-67.834324,circle,GE_2024.09.02,93,
acrc64,-10.598751,-67.798521,circle,GE_2024.09.02,300,
acrc65,-10.481418,-67.754508,circle,GE_2024.09.02,76,
acrc66,-10.41781,-67.718227,circle,GE_2024.09.02,72,
acrc67,-10.107647,-67.573627,circle,Kalliola_2024,62,
acrc68,-10.688506,-67.731486,circle,Kalliola_2024,54,
acrc69,-10.440829,-67.726201,circle,Kalliola_2024,114,
acrc7,-10.088103,-67.509098,circle,GE_2010-11-13,140,
acrc70,-10.439745,-67.663857,circle,Kalliola_2024,107,
acrc71,-10.394608,-67.639309,circle,Kalliola_2024,54,
acrc72,-9.947634,-67.606893,circle,Kalliola_2024,77,
acrc73,-10.281339,-67.784664,circle,GE_2025.07.01,51,
acrc74,-10.395179,-67.6374,circle,GE_2025.11.07,107,
acrc8,-10.378754,-67.755098,circle,GE_2021-10-30,56,
acrc9,-10.380911,-67.657989,circle,GE_2016-02-14,135,
acrci,-10.26517,-67.697219,circle,GE_2024.09.02,180,
acrcs,-9.960793,-67.498223,square,GE_2021-12-17,130,
acrdc,-10.028549,-67.728367,circle,GE_2025.05.26,140,
acrde,-9.930138,-66.791779,enclosure,GE_2024.10.16,145,141.0
acrdg,-9.756841,-67.161676,geoglyph,GE_2025.05.03_via_IPHAN,143,
acrdo,-10.176205,-67.068761,oval,GE_2014-02-01,140,120.0
acrdp,-9.901016,-67.42395,parallelogram,GE_2014-11-30,125,
acrdq,-9.960332,-67.283059,quadrangle,GE_2024.08.19,145,
acrdq1,-10.048271,-66.964965,quadrangle,GE_2025.11.05,105,102.0
acrdr,-9.963932,-67.490719,circle,GE_2010-11-13,120,
acrds,-9.856223,-66.94084,square,GE_2014-01-30,170,
acre1,-10.257997,-67.679537,enclosure,GE_2010-01-13,145,140.0
acre10,-10.595023,-67.686464,enclosure,GE_2014-01-30,80,70.0
acre11,-10.595172,-67.687323,enclosure,GE_2014-01-30,140,120.0
acre12,-10.260666,-67.68424,enclosure,GE_2014-11-18,210,180.0
acre13,-10.29631,-67.905514,enclosure,GE_2014-11-22,210,
acre14,-10.031278,-67.512766,enclosure,GE_2014-01-31,88,75.0
acre15,-9.79399,-67.053777,quadrangle,GE_2023.08.21,171,163.0
acre16,-10.240519,-67.595027,enclosure,GE_2014-02-01,130,115.0
acre17,-10.167566,-67.351196,enclosure,GE_2014-11-17,50,35.0
acre18,-9.785026,-66.947583,enclosure,GE_2014-11-18,124,90.0
acre19,-10.154816,-67.799588,enclosure,GE_2014-11-22,128,
acre2,-10.613629,-67.810084,enclosure,GE_2014-01-29,140,
acre20,-9.811788,-67.528382,enclosure,GE_2014-11-23,90,
acre21,-10.418162,-68.191609,enclosure,GE_2014-11-29,175,
acre22,-9.3712,-67.999793,enclosure,GE_2015-05.06,180,170.0
acre23,-9.66318,-67.306989,enclosure,GE_2017-11-14,150,
acre24,-9.793718,-67.375393,enclosure,GE_2017-11-14,134,130.0
acre25,-10.465663,-67.931354,enclosure,GE_2017-11-14,180,150.0
acre26,-10.322368,-67.796047,enclosure,GE_2020-01-15,108,
acre27,-10.29631,-67.905514,enclosure,GE_2022-05-19,210,
acre28,-10.351686,-67.713061,enclosure,zoom_jpg,126,
acre29,-10.351628,-67.710876,enclosure,GE_2021-10-23,122,105.0
acre3,-10.301061,-67.693363,enclosure,GE_2021-10-23,72,
acre30,-10.317383,-67.662753,enclosure,GE_2021-10-23,62,
acre31,-10.388214,-67.587965,enclosure,GE_2021-10-23,73,
acre32,-10.387917,-67.558119,enclosure,GE_2024.02.17,126,118.0
acre33,-10.389151,-67.559095,enclosure,GE_2024.02.17,98,
acre34,-10.637145,-67.808143,circle,GE_2024.09.29,122,
acre35,-10.341593,-67.790394,enclosure,GE_2021-10-30,159,150.0
acre36,-10.409387,-67.853741,enclosure,GE_2021-10-30,125,
acre37,-10.098007,-67.797267,enclosure,GE_2021-11-01,203,163.0
acre38,-10.350835,-67.713787,enclosure,GE_2021-11-11,130,114.0
acre39,-9.662702,-67.175264,enclosure,GE_2021-11-12,117,71.0
acre4,-10.296085,-67.65149,enclosure,GE_2016-02-14,144,122.0
acre40,-9.692415,-67.276041,enclosure,GE_2021-11-13,120,
acre41,-10.304938,-67.908767,enclosure,GE_2021-11-20,99,78.0
acre42,-10.286515,-67.594617,enclosure,GE_2021-11-26,107,104.0
acre43,-10.239525,-67.594915,enclosure,GE_2021-12-25,73,60.0
acre44,-10.304829,-67.696739,enclosure,GE_2022-04-23,98,96.0
acre45,-10.291649,-67.690986,enclosure,GE_2022-04-23,79,71.0
acre46,-10.260666,-67.68424,enclosure,GE_2022-05-19,210,180.0
acre47,-10.100481,-67.003998,enclosure,GE_2022-11-30,68,
acre48,-10.378558,-67.600426,enclosure,GE_2023.08.17,85,78.0
acre49,-10.387279,-67.589738,enclosure,GE_2024.02.17,95,85.0
acre5,-10.597968,-67.802991,enclosure,GE_2021-10-22,229,216.0
acre50,-9.962404,-67.320476,enclosure,GE_2024.08.19,126,
acre51,-10.492101,-67.634026,enclosure,GE_2024.09.02,85,
acre52,-10.225114,-67.954744,enclosure,Kalliola_2024,223,
acre53,-10.243447,-67.707697,enclosure,Kalliola_2024,86,
acre54,-10.426784,-67.643743,enclosure,Kalliola_2024,127,110.0
acre55,-10.291323,-67.751362,enclosure,GE_2025.07.01,152,129.0
